Date,Adjusted,Asylum support payment (£)
2021-11-01,Inflation-adjusted,34.61135371179039
2021-11-01,Nominal,39.63
2021-12-01,Inflation-adjusted,34.43092962641182
2021-12-01,Nominal,39.63
2022-01-01,Inflation-adjusted,34.49086161879896
2022-01-01,Nominal,39.63
2022-02-01,Inflation-adjusted,35.27633851468049
2022-02-01,Nominal,40.85
2022-03-01,Inflation-adjusted,34.88471391972673
2022-03-01,Nominal,40.85
2022-04-01,Inflation-adjusted,34.04166666666667
2022-04-01,Nominal,40.85
2022-05-01,Inflation-adjusted,33.81622516556292
2022-05-01,Nominal,40.85
2022-06-01,Inflation-adjusted,33.53858784893268
2022-06-01,Nominal,40.85
2022-07-01,Inflation-adjusted,33.3469387755102
2022-07-01,Nominal,40.85
2022-08-01,Inflation-adjusted,33.18440292445167
2022-08-01,Nominal,40.85
2022-09-01,Inflation-adjusted,32.996768982229405
2022-09-01,Nominal,40.85
2022-10-01,Inflation-adjusted,32.36925515055468
2022-10-01,Nominal,40.85
2022-11-01,Inflation-adjusted,32.24151539068666
2022-11-01,Nominal,40.85
2022-12-01,Inflation-adjusted,35.37735849056604
2022-12-01,Nominal,45
2023-01-01,Inflation-adjusted,35.60126582278481
2023-01-01,Nominal,45
2023-02-01,Inflation-adjusted,35.18373729476153
2023-02-01,Nominal,45
2023-03-01,Inflation-adjusted,34.91078355314197
2023-03-01,Nominal,45
2023-04-01,Inflation-adjusted,34.509202453987726
2023-04-01,Nominal,45
2023-05-01,Inflation-adjusted,34.27265803503427
2023-05-01,Nominal,45
2023-06-01,Inflation-adjusted,34.22053231939164
2023-06-01,Nominal,45
